Packet Number,Device Name,Device Type,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Human Command,Packet Type,Command String
1,Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Unknown,0,Link Status (0x08),
2,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
3,Unknown,Unknown,Unknown,Unknown,,0,Ack,
4,Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Unknown,0,Link Status (0x08),
5,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
6,Unknown,Unknown,Unknown,Unknown,,0,Ack,
7,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
8,Unknown,Unknown,Unknown,Unknown,,0,Ack,
9,Philips Motion,Bulb,Philips Motion,Bulb,Unknown,0,Link Status (0x08),
10,Moes Bulb,Bulb,Moes Bulb,Bulb,Unknown,0,Link Status (0x08),
11,Coordinator,Coordinator,Coordinator,Coordinator,Unknown,0,Link Status (0x08),
12,Ledvance Smart+ Plug,Socket,Ledvance Smart+ Plug,Socket,Unknown,0,Link Status (0x08),
13,Power Plug 1,Socket,Power Plug 1,Socket,Unknown,0,Link Status (0x08),
14,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,Read Attributes (0x00),"{'Sequence Number': '182', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
15,Unknown,Unknown,Unknown,Unknown,,0,Ack,
16,Smart Socket,Socket,Smart Socket,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '182', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '225 (0x00000000000000e1)', 'Bitmap8': '0x00'}"
17,Unknown,Unknown,Unknown,Unknown,,0,Ack,
18,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '184', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
19,Unknown,Unknown,Unknown,Unknown,,0,Ack,
20,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '184', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
21,Unknown,Unknown,Unknown,Unknown,,0,Ack,
22,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,APS: Ack,
23,Unknown,Unknown,Unknown,Unknown,,0,Ack,
24,Unknown,Unknown,Unknown,Unknown,,0,Ack,
25,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,Read Attributes (0x00),"{'Sequence Number': '186', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
26,Unknown,Unknown,Unknown,Unknown,,0,Ack,
27,Smart Socket,Socket,Smart Socket,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '186', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '220 (0x00dc)']}"
28,Smart Socket,Socket,Smart Socket,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '186', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '220 (0x00dc)']}"
29,Unknown,Unknown,Unknown,Unknown,,0,Ack,
30,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '188', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
31,Unknown,Unknown,Unknown,Unknown,,0,Ack,
32,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '188', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
33,Unknown,Unknown,Unknown,Unknown,,0,Ack,
34,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
35,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
36,Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '188', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '219 (0x00db)']}"
37,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
38,Unknown,Unknown,Unknown,Unknown,,0,Ack,
39,Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '188', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '219 (0x00db)']}"
40,Unknown,Unknown,Unknown,Unknown,,0,Ack,
41,Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '188', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '219 (0x00db)']}"
42,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,0,Read Attributes (0x00),"{'Sequence Number': '190', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
43,Unknown,Unknown,Unknown,Unknown,,0,Ack,
44,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
45,Power Plug 1,Socket,Unknown,Unknown,,0,,
46,Power Plug 1,Socket,Unknown,Unknown,,0,,
47,Philips Lamp 1,Bulb,Unknown,Unknown,,0,,
48,Smart Socket,Socket,Coordinator,Coordinator,Power Plug 2,0,Read Attributes (0x00),"{'Sequence Number': '190', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
49,Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '188', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '219 (0x00db)']}"
50,Unknown,Unknown,Unknown,Unknown,,0,Ack,
51,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,APS: Ack,
52,Unknown,Unknown,Unknown,Unknown,,0,Ack,
53,Power Plug 1,Socket,Unknown,Unknown,,0,,
54,Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '188', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '219 (0x00db)']}"
55,Unknown,Unknown,Unknown,Unknown,,0,Ack,
56,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,0,Read Attributes (0x00),"{'Sequence Number': '192', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
57,Unknown,Unknown,Unknown,Unknown,,0,Ack,
58,Smart Socket,Socket,Coordinator,Coordinator,Power Plug 2,0,Read Attributes (0x00),"{'Sequence Number': '192', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
59,Unknown,Unknown,Unknown,Unknown,,0,Ack,
60,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
61,Unknown,Unknown,Unknown,Unknown,,0,Ack,
62,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
63,Unknown,Unknown,Unknown,Unknown,,0,Ack,
64,Power Plug 2,Socket,Unknown,Unknown,,0,,
65,Unknown,Unknown,Unknown,Unknown,,0,Ack,
66,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
67,Unknown,Unknown,Unknown,Unknown,,0,Ack,
68,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
69,Unknown,Unknown,Unknown,Unknown,,0,Ack,
70,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
71,Unknown,Unknown,Unknown,Unknown,,0,Ack,
72,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,0,APS: Ack,
