Packet Number,Device Name,Device Type,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Human Command,Packet Type,Command String
1,Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Unknown,0,Link Status (0x08),
2,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
3,Unknown,Unknown,Unknown,Unknown,,0,Ack,
4,Moes Bulb,Bulb,Moes Bulb,Bulb,Unknown,0,Link Status (0x08),
5,Ledvance Smart+ Plug,Socket,Ledvance Smart+ Plug,Socket,Unknown,0,Link Status (0x08),
6,Power Plug 1,Socket,Power Plug 1,Socket,Unknown,0,Link Status (0x08),
7,Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Unknown,0,Link Status (0x08),
8,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,Read Attributes (0x00),"{'Sequence Number': '60', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
9,Unknown,Unknown,Unknown,Unknown,,0,Ack,
10,Smart Socket,Socket,Smart Socket,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '60', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '225 (0x00000000000000e1)', 'Bitmap8': '0x00'}"
11,Unknown,Unknown,Unknown,Unknown,,0,Ack,
12,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '62', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
13,Unknown,Unknown,Unknown,Unknown,,0,Ack,
14,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '62', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
15,Unknown,Unknown,Unknown,Unknown,,0,Ack,
16,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,APS: Ack,
17,Unknown,Unknown,Unknown,Unknown,,0,Ack,
18,Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '62', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '0 (0x0000000000000000)', 'Bitmap8': '0x00'}"
19,Unknown,Unknown,Unknown,Unknown,,0,Ack,
20,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,Read Attributes (0x00),"{'Sequence Number': '64', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
21,Unknown,Unknown,Unknown,Unknown,,0,Ack,
22,Smart Socket,Socket,Smart Socket,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '64', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '222 (0x00de)']}"
23,Unknown,Unknown,Unknown,Unknown,,0,Ack,
24,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '66', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
25,Unknown,Unknown,Unknown,Unknown,,0,Ack,
26,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '66', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
27,Unknown,Unknown,Unknown,Unknown,,0,Ack,
28,Unknown,Unknown,Unknown,Unknown,,0,Ack,
29,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
30,Unknown,Unknown,Unknown,Unknown,,0,Ack,
31,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
32,Unknown,Unknown,Unknown,Unknown,,0,Ack,
33,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,0,Read Attributes (0x00),"{'Sequence Number': '68', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
34,Unknown,Unknown,Unknown,Unknown,,0,Ack,
35,Unknown,Unknown,Unknown,Unknown,,0,,
36,Unknown,Unknown,Unknown,Unknown,,0,Ack,
37,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,APS: Ack,
38,Unknown,Unknown,Unknown,Unknown,,0,Ack,
39,Power Plug 2,Socket,Unknown,Unknown,,0,,
40,Unknown,Unknown,Unknown,Unknown,,0,Ack,
41,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,0,Read Attributes (0x00),"{'Sequence Number': '70', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
42,Unknown,Unknown,Unknown,Unknown,,0,Ack,
43,Philips Lamp 2,Bulb,Unknown,Unknown,,0,,
44,Unknown,Unknown,Unknown,Unknown,,0,Ack,
45,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
46,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
47,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,APS: Ack,
48,Unknown,Unknown,Unknown,Unknown,,0,Ack,
49,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,0,APS: Ack,
50,Unknown,Unknown,Unknown,Unknown,,0,Ack,
51,Power Plug 2,Socket,Power Plug 2,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '70', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '21 (0x0000000000000015)', 'Bitmap8': '0x00'}"
52,Unknown,Unknown,Unknown,Unknown,,0,Ack,
53,Unknown,Unknown,Unknown,Unknown,,0,,
54,Unknown,Unknown,Unknown,Unknown,,0,Ack,
55,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,0,APS: Ack,
56,Unknown,Unknown,Unknown,Unknown,,0,Ack,
57,Philips Lamp 2,Bulb,Unknown,Unknown,,0,,
58,Power Plug 2,Socket,Power Plug 2,Socket,Coordinator,0,Report Attributes (0x0a),"{'Sequence Number': '180', 'Command': 'Report Attributes (0x0a)', 'Attribute': ['Application Version (0x0001)', 'Unknown (0xffe2)', 'Unknown (0xffe4)'], 'Data Type': ['8-Bit Unsigned Integer (0x20)', '8-Bit Unsigned Integer (0x20)', '8-Bit Unsigned Integer (0x20)'], 'Uint8': ['77 (0x4d)', '54 (0x36)', '0 (0x00)']}"
59,Unknown,Unknown,Unknown,Unknown,,0,Ack,
60,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,0,Default Response (0x0b),"{'Sequence Number': '180', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
61,Unknown,Unknown,Unknown,Unknown,,0,Ack,
62,Unknown,Unknown,Unknown,Unknown,,0,Ack,
63,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
64,Unknown,Unknown,Unknown,Unknown,,0,Ack,
65,Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Unknown,0,Link Status (0x08),
66,Smart Socket,Socket,Smart Socket,Socket,Unknown,0,Link Status (0x08),
67,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
68,Unknown,Unknown,Unknown,Unknown,,0,Ack,
69,Philips Motion,Bulb,Philips Motion,Bulb,Unknown,0,Link Status (0x08),
70,Coordinator,Coordinator,Coordinator,Coordinator,Unknown,0,Link Status (0x08),
71,Philips Lamp 1,Bulb,Unknown,Unknown,,0,,
72,Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Unknown,0,Link Status (0x08),
73,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
74,Unknown,Unknown,Unknown,Unknown,,0,Ack,
75,Moes Bulb,Bulb,Moes Bulb,Bulb,Unknown,0,Link Status (0x08),
76,Ledvance Smart+ Plug,Socket,Ledvance Smart+ Plug,Socket,Unknown,0,Link Status (0x08),
77,Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Unknown,0,Link Status (0x08),
78,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
79,Smart Socket,Socket,Smart Socket,Socket,Unknown,0,Link Status (0x08),
80,Power Plug 2,Socket,Power Plug 2,Socket,Unknown,0,Link Status (0x08),
81,Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Unknown,0,Link Status (0x08),
82,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
83,Unknown,Unknown,Unknown,Unknown,,0,Ack,
84,Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,0,Read Attributes (0x00),"{'Sequence Number': '73', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
85,Unknown,Unknown,Unknown,Unknown,,0,Ack,
86,Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,0,Route Record (0x05),
87,Unknown,Unknown,Unknown,Unknown,,0,Ack,
88,Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '73', 'Command': 'Read Attributes Response (0x01)', 'Attribute': 'OnOff (0x0000)', 'Status': 'Success (0x00)', 'Data Type': 'Boolean (0x10)'}"
89,Unknown,Unknown,Unknown,Unknown,,0,Ack,
90,Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,0,Read Attributes (0x00),"{'Sequence Number': '75', 'Command': 'Read Attributes (0x00)', 'Attribute': 'Current Level (0x0000)'}"
91,Unknown,Unknown,Unknown,Unknown,,0,Ack,
