Packet Number,Device Name,Device Type
1,Philips Lamp 1,Bulb
2,Philips Lamp 3,Motion
3,Unknown,Unknown
4,Ledvance Bulb,Bulb
5,Philips Lamp 3,Motion
6,Unknown,Unknown
7,Philips Lamp 3,Motion
8,Unknown,Unknown
9,Philips Motion,Bulb
10,Moes Bulb,Bulb
11,Coordinator,Coordinator
12,Ledvance Smart+ Plug,Socket
13,Power Plug 1,Socket
14,Coordinator,Coordinator
15,Unknown,Unknown
16,Smart Socket,Socket
17,Unknown,Unknown
18,Coordinator,Coordinator
19,Unknown,Unknown
20,Philips Lamp 1,Bulb
21,Unknown,Unknown
22,Coordinator,Coordinator
23,Unknown,Unknown
24,Unknown,Unknown
25,Coordinator,Coordinator
26,Unknown,Unknown
27,Smart Socket,Socket
28,Smart Socket,Socket
29,Unknown,Unknown
30,Coordinator,Coordinator
31,Unknown,Unknown
32,Philips Lamp 1,Bulb
33,Unknown,Unknown
34,Coordinator,Coordinator
35,Coordinator,Coordinator
36,Power Plug 1,Socket
37,Coordinator,Coordinator
38,Unknown,Unknown
39,Power Plug 1,Socket
40,Unknown,Unknown
41,Power Plug 1,Socket
42,Coordinator,Coordinator
43,Unknown,Unknown
44,Philips Lamp 1,Bulb
45,Power Plug 1,Socket
46,Power Plug 1,Socket
47,Philips Lamp 1,Bulb
48,Smart Socket,Socket
49,Power Plug 1,Socket
50,Unknown,Unknown
51,Coordinator,Coordinator
52,Unknown,Unknown
53,Power Plug 1,Socket
54,Power Plug 1,Socket
55,Unknown,Unknown
56,Coordinator,Coordinator
57,Unknown,Unknown
58,Smart Socket,Socket
59,Unknown,Unknown
60,Philips Lamp 1,Bulb
61,Unknown,Unknown
62,Coordinator,Coordinator
63,Unknown,Unknown
64,Power Plug 2,Socket
65,Unknown,Unknown
66,Philips Lamp 1,Bulb
67,Unknown,Unknown
68,Coordinator,Coordinator
69,Unknown,Unknown
70,Coordinator,Coordinator
71,Unknown,Unknown
72,Coordinator,Coordinator
73,Unknown,Unknown
74,Smart Socket,Socket
75,Unknown,Unknown
76,Philips Lamp 3,Motion
77,Unknown,Unknown
78,Smart Socket,Socket
79,Power Plug 2,Socket
80,Philips Lamp 2,Bulb
81,Philips Lamp 3,Motion
82,Unknown,Unknown
83,Philips Lamp 1,Bulb
84,Ledvance Bulb,Bulb
85,Ledvance Z3 Plug,Socket
86,Philips Lamp 3,Motion
87,Unknown,Unknown
88,Moes Bulb,Bulb
89,Moes Bulb,Bulb
90,Unknown,Unknown
91,Moes Bulb,Bulb
92,Unknown,Unknown
93,Moes Bulb,Bulb
94,Unknown,Unknown
95,Coordinator,Coordinator
96,Unknown,Unknown
97,Smart Socket,Socket
98,Coordinator,Coordinator
99,Coordinator,Coordinator
100,Unknown,Unknown
101,Smart Socket,Socket
102,Unknown,Unknown
103,Coordinator,Coordinator
104,Unknown,Unknown
105,Smart Socket,Socket
106,Unknown,Unknown
107,Philips Motion,Bulb
108,Power Plug 1,Socket
109,Ledvance Smart+ Plug,Socket
110,Coordinator,Coordinator
111,Philips Lamp 3,Motion
112,Unknown,Unknown
113,Smart Socket,Socket
114,Power Plug 2,Socket
115,Unknown,Unknown
116,Unknown,Unknown
117,Sonoff Motion 2,Motion
118,Unknown,Unknown
119,Ledvance Bulb,Bulb
120,Unknown,Unknown
121,Sonoff Motion 2,Motion
122,Unknown,Unknown
123,Philips Lamp 2,Bulb
124,Ledvance Bulb,Bulb
125,Philips Lamp 1,Bulb
126,Philips Lamp 3,Motion
127,Unknown,Unknown
128,Philips Motion,Bulb
129,Ledvance Z3 Plug,Socket
130,Moes Bulb,Bulb
131,Ledvance Smart+ Plug,Socket
132,Power Plug 1,Socket
133,Coordinator,Coordinator
134,Unknown,Unknown
135,Smart Socket,Socket
136,Unknown,Unknown
137,Coordinator,Coordinator
138,Unknown,Unknown
139,Philips Lamp 1,Bulb
140,Unknown,Unknown
141,Coordinator,Coordinator
142,Unknown,Unknown
143,Power Plug 1,Socket
144,Unknown,Unknown
145,Coordinator,Coordinator
146,Unknown,Unknown
147,Smart Socket,Socket
148,Unknown,Unknown
149,Coordinator,Coordinator
150,Coordinator,Coordinator
151,Unknown,Unknown
152,Coordinator,Coordinator
153,Unknown,Unknown
154,Philips Lamp 1,Bulb
155,Unknown,Unknown
156,Philips Lamp 1,Bulb
157,Unknown,Unknown
158,Coordinator,Coordinator
159,Unknown,Unknown
160,Coordinator,Coordinator
161,Unknown,Unknown
162,Power Plug 1,Socket
163,Unknown,Unknown
164,Coordinator,Coordinator
165,Unknown,Unknown
166,Power Plug 1,Socket
167,Unknown,Unknown
168,Smart Socket,Socket
169,Unknown,Unknown
170,Smart Socket,Socket
171,Smart Socket,Socket
172,Smart Socket,Socket
173,Smart Socket,Socket
174,Coordinator,Coordinator
175,Coordinator,Coordinator
176,Coordinator,Coordinator
177,Unknown,Unknown
178,Power Plug 2,Socket
179,Philips Lamp 1,Bulb
180,Unknown,Unknown
181,Power Plug 2,Socket
182,Unknown,Unknown
183,Power Plug 2,Socket
184,Coordinator,Coordinator
185,Unknown,Unknown
186,Smart Socket,Socket
187,Unknown,Unknown
188,Smart Socket,Socket
189,Power Plug 2,Socket
190,Unknown,Unknown
191,Coordinator,Coordinator
192,Coordinator,Coordinator
193,Unknown,Unknown
194,Smart Socket,Socket
195,Power Plug 1,Socket
196,Unknown,Unknown
197,Coordinator,Coordinator
198,Coordinator,Coordinator
199,Unknown,Unknown
200,Unknown,Unknown
201,Power Plug 1,Socket
202,Power Plug 1,Socket
203,Unknown,Unknown
204,Coordinator,Coordinator
205,Unknown,Unknown
206,Power Plug 1,Socket
207,Unknown,Unknown
208,Coordinator,Coordinator
209,Coordinator,Coordinator
210,Unknown,Unknown
211,Power Plug 1,Socket
212,Unknown,Unknown
213,Smart Socket,Socket
214,Unknown,Unknown
215,Coordinator,Coordinator
216,Unknown,Unknown
217,Coordinator,Coordinator
218,Smart Socket,Socket
219,Unknown,Unknown
220,Philips Lamp 3,Motion
221,Unknown,Unknown
222,Smart Socket,Socket
223,Power Plug 2,Socket
224,Power Plug 2,Socket
225,Unknown,Unknown
226,Coordinator,Coordinator
227,Unknown,Unknown
228,Smart Socket,Socket
229,Unknown,Unknown
230,Power Plug 1,Socket
231,Unknown,Unknown
232,Coordinator,Coordinator
233,Unknown,Unknown
234,Philips Lamp 1,Bulb
235,Unknown,Unknown
236,Power Plug 1,Socket
237,Unknown,Unknown
238,Philips Lamp 3,Motion
239,Unknown,Unknown
240,Ledvance Bulb,Bulb
241,Philips Lamp 1,Bulb
242,Philips Lamp 3,Motion
243,Unknown,Unknown
244,Philips Motion,Bulb
245,Ledvance Z3 Plug,Socket
246,Moes Bulb,Bulb
247,Unknown,Unknown
248,Ledvance Smart+ Plug,Socket
249,Power Plug 1,Socket
250,Philips Lamp 3,Motion
251,Unknown,Unknown
252,Philips Lamp 3,Motion
253,Unknown,Unknown
254,Smart Socket,Socket
255,Unknown,Unknown
256,Coordinator,Coordinator
257,Unknown,Unknown
258,Philips Lamp 3,Motion
259,Unknown,Unknown
260,Ledvance Bulb,Bulb
261,Philips Lamp 1,Bulb
262,Philips Lamp 3,Motion
263,Unknown,Unknown
264,Moes Bulb,Bulb
265,Philips Motion,Bulb
