Packet Number,Device Name,Device Type
1,Philips Lamp 3,Motion
2,Unknown,Unknown
3,Smart Socket,Socket
4,Power Plug 1,Socket
5,Unknown,Unknown
6,Coordinator,Coordinator
7,Ledvance Smart+ Plug,Socket
8,Ledvance Bulb,Bulb
9,Power Plug 1,Socket
10,Unknown,Unknown
11,Ledvance Bulb,Bulb
12,Unknown,Unknown
13,Philips Motion,Bulb
14,Ledvance Z3 Plug,Socket
15,Smart Socket,Socket
16,Philips Lamp 2,Bulb
17,Unknown,Unknown
18,Power Plug 1,Socket
19,Unknown,Unknown
20,Moes Bulb,Bulb
21,Coordinator,Coordinator
22,Unknown,Unknown
23,Ledvance Bulb,Bulb
24,Unknown,Unknown
25,Power Plug 1,Socket
26,Unknown,Unknown
27,Power Plug 1,Socket
28,Unknown,Unknown
29,Coordinator,Coordinator
30,Coordinator,Coordinator
31,Coordinator,Coordinator
32,Unknown,Unknown
33,Ledvance Bulb,Bulb
34,Power Plug 1,Socket
35,Unknown,Unknown
36,Smart Socket,Socket
37,Ledvance Bulb,Bulb
38,Power Plug 2,Socket
39,Philips Motion,Bulb
40,Ledvance Z3 Plug,Socket
41,Philips Lamp 2,Bulb
42,Moes Bulb,Bulb
43,Power Plug 1,Socket
44,Unknown,Unknown
45,Smart Socket,Socket
46,Coordinator,Coordinator
47,Ledvance Bulb,Bulb
48,Power Plug 2,Socket
49,Philips Motion,Bulb
50,Ledvance Z3 Plug,Socket
51,Moes Bulb,Bulb
52,Philips Lamp 2,Bulb
53,Power Plug 2,Socket
54,Philips Lamp 1,Bulb
55,Coordinator,Coordinator
56,Philips Lamp 1,Bulb
57,Unknown,Unknown
58,Unknown,Unknown
59,Philips Lamp 2,Bulb
60,Coordinator,Coordinator
61,Ledvance Z3 Plug,Socket
62,Ledvance Bulb,Bulb
63,Philips Lamp 3,Motion
64,Unknown,Unknown
65,Ledvance Smart+ Plug,Socket
66,Coordinator,Coordinator
67,Unknown,Unknown
68,Smart Socket,Socket
69,Unknown,Unknown
70,Coordinator,Coordinator
71,Coordinator,Coordinator
72,Unknown,Unknown
73,Power Plug 1,Socket
74,Unknown,Unknown
75,Coordinator,Coordinator
76,Unknown,Unknown
77,Coordinator,Coordinator
78,Unknown,Unknown
79,Smart Socket,Socket
80,Unknown,Unknown
81,Coordinator,Coordinator
82,Unknown,Unknown
83,Unknown,Unknown
84,Unknown,Unknown
85,Power Plug 1,Socket
86,Unknown,Unknown
87,Coordinator,Coordinator
88,Philips Lamp 1,Bulb
89,Unknown,Unknown
90,Coordinator,Coordinator
91,Coordinator,Coordinator
92,Unknown,Unknown
93,Philips Motion,Bulb
94,Power Plug 2,Socket
95,Coordinator,Coordinator
96,Philips Lamp 2,Bulb
97,Power Plug 2,Socket
98,Unknown,Unknown
99,Coordinator,Coordinator
100,Philips Motion,Bulb
101,Coordinator,Coordinator
102,Unknown,Unknown
103,Philips Motion,Bulb
104,Unknown,Unknown
105,Philips Lamp 1,Bulb
106,Unknown,Unknown
107,Moes Bulb,Bulb
108,Ledvance Z3 Plug,Socket
109,Ledvance Smart+ Plug,Socket
110,Ledvance Smart+ Plug,Socket
111,Smart Socket,Socket
112,Ledvance Smart+ Plug,Socket
113,Philips Lamp 1,Bulb
114,Ledvance Bulb,Bulb
115,Coordinator,Coordinator
116,Unknown,Unknown
117,Philips Motion,Bulb
118,Unknown,Unknown
119,Power Plug 2,Socket
120,Unknown,Unknown
121,Coordinator,Coordinator
122,Unknown,Unknown
123,Philips Motion,Bulb
124,Unknown,Unknown
125,Power Plug 2,Socket
126,Unknown,Unknown
127,Coordinator,Coordinator
128,Unknown,Unknown
129,Philips Motion,Bulb
130,Unknown,Unknown
131,Coordinator,Coordinator
132,Unknown,Unknown
133,Philips Motion,Bulb
134,Unknown,Unknown
135,Philips Motion,Bulb
136,Moes Bulb,Bulb
137,Ledvance Smart+ Plug,Socket
138,Coordinator,Coordinator
139,Smart Socket,Socket
140,Philips Lamp 2,Bulb
141,Power Plug 2,Socket
142,Unknown,Unknown
143,Philips Lamp 2,Bulb
144,Unknown,Unknown
145,Ledvance Z3 Plug,Socket
146,Power Plug 1,Socket
147,Ledvance Bulb,Bulb
148,Moes Bulb,Bulb
149,Smart Socket,Socket
150,Philips Motion,Bulb
151,Coordinator,Coordinator
152,Ledvance Z3 Plug,Socket
153,Philips Lamp 2,Bulb
154,Unknown,Unknown
155,Ledvance Bulb,Bulb
156,Coordinator,Coordinator
157,Philips Lamp 3,Motion
158,Unknown,Unknown
159,Smart Socket,Socket
160,Power Plug 2,Socket
161,Philips Lamp 1,Bulb
162,Philips Lamp 2,Bulb
163,Philips Lamp 3,Motion
164,Unknown,Unknown
165,Philips Lamp 3,Motion
166,Unknown,Unknown
167,Philips Lamp 1,Bulb
168,Unknown,Unknown
169,Philips Lamp 3,Motion
170,Unknown,Unknown
171,Philips Lamp 1,Bulb
172,Philips Lamp 1,Bulb
173,Unknown,Unknown
174,Coordinator,Coordinator
175,Unknown,Unknown
176,Philips Lamp 3,Motion
177,Unknown,Unknown
178,Philips Lamp 1,Bulb
179,Unknown,Unknown
180,Philips Lamp 3,Motion
181,Unknown,Unknown
182,Philips Lamp 3,Motion
183,Unknown,Unknown
184,Philips Lamp 3,Motion
185,Unknown,Unknown
186,Philips Lamp 1,Bulb
187,Unknown,Unknown
188,Philips Lamp 1,Bulb
189,Unknown,Unknown
190,Coordinator,Coordinator
191,Ledvance Z3 Plug,Socket
192,Ledvance Bulb,Bulb
193,Moes Bulb,Bulb
194,Philips Lamp 3,Motion
195,Unknown,Unknown
196,Ledvance Smart+ Plug,Socket
197,Smart Socket,Socket
198,Unknown,Unknown
199,Coordinator,Coordinator
200,Unknown,Unknown
201,Smart Socket,Socket
202,Unknown,Unknown
203,Power Plug 1,Socket
204,Ledvance Bulb,Bulb
205,Unknown,Unknown
206,Coordinator,Coordinator
207,Unknown,Unknown
208,Smart Socket,Socket
209,Unknown,Unknown
210,Coordinator,Coordinator
211,Unknown,Unknown
212,Smart Socket,Socket
213,Unknown,Unknown
214,Ledvance Bulb,Bulb
215,Unknown,Unknown
216,Smart Socket,Socket
217,Power Plug 2,Socket
218,Philips Lamp 3,Motion
219,Unknown,Unknown
220,Philips Lamp 1,Bulb
221,Philips Motion,Bulb
222,Philips Lamp 2,Bulb
223,Philips Lamp 3,Motion
224,Ledvance Bulb,Bulb
225,Coordinator,Coordinator
226,Unknown,Unknown
227,Coordinator,Coordinator
228,Unknown,Unknown
229,Unknown,Unknown
230,Moes Bulb,Bulb
231,Philips Lamp 3,Motion
232,Unknown,Unknown
233,Coordinator,Coordinator
234,Unknown,Unknown
235,Philips Lamp 1,Bulb
236,Unknown,Unknown
237,Power Plug 1,Socket
238,Unknown,Unknown
239,Ledvance Smart+ Plug,Socket
240,Power Plug 1,Socket
241,Coordinator,Coordinator
242,Unknown,Unknown
243,Smart Socket,Socket
244,Unknown,Unknown
245,Coordinator,Coordinator
246,Unknown,Unknown
247,Unknown,Unknown
248,Unknown,Unknown
249,Power Plug 1,Socket
250,Unknown,Unknown
251,Coordinator,Coordinator
252,Unknown,Unknown
253,Coordinator,Coordinator
254,Unknown,Unknown
255,Smart Socket,Socket
256,Unknown,Unknown
257,Coordinator,Coordinator
258,Unknown,Unknown
259,Philips Lamp 1,Bulb
260,Unknown,Unknown
261,Coordinator,Coordinator
262,Unknown,Unknown
263,Philips Lamp 1,Bulb
264,Unknown,Unknown
265,Coordinator,Coordinator
266,Unknown,Unknown
267,Power Plug 1,Socket
268,Unknown,Unknown
269,Power Plug 1,Socket
270,Unknown,Unknown
271,Philips Lamp 2,Bulb
272,Unknown,Unknown
273,Coordinator,Coordinator
274,Power Plug 2,Socket
275,Unknown,Unknown
276,Coordinator,Coordinator
277,Unknown,Unknown
278,Power Plug 2,Socket
279,Unknown,Unknown
280,Philips Lamp 2,Bulb
281,Unknown,Unknown
282,Power Plug 2,Socket
283,Coordinator,Coordinator
284,Unknown,Unknown
285,Power Plug 2,Socket
286,Unknown,Unknown
287,Coordinator,Coordinator
288,Power Plug 2,Socket
289,Unknown,Unknown
290,Power Plug 2,Socket
291,Unknown,Unknown
292,Coordinator,Coordinator
293,Unknown,Unknown
294,Philips Lamp 1,Bulb
295,Unknown,Unknown
296,Coordinator,Coordinator
297,Unknown,Unknown
298,Philips Lamp 2,Bulb
299,Unknown,Unknown
300,Coordinator,Coordinator
301,Unknown,Unknown
302,Philips Lamp 2,Bulb
303,Unknown,Unknown
304,Coordinator,Coordinator
305,Unknown,Unknown
306,Smart Socket,Socket
307,Power Plug 2,Socket
308,Unknown,Unknown
309,Coordinator,Coordinator
310,Unknown,Unknown
311,Philips Lamp 1,Bulb
312,Philips Lamp 1,Bulb
313,Unknown,Unknown
