Packet Number,Device Name,Device Type,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Human Command,Packet Type,Command String
1,Power Plug 1,Socket,Power Plug 1,Socket,Unknown,0,Link Status (0x08),
2,Smart Socket,Socket,Smart Socket,Socket,Unknown,0,Link Status (0x08),
3,Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Unknown,0,Link Status (0x08),
4,Ledvance Bulb,Bulb,Unknown,Unknown,,0,,
5,Moes Bulb,Bulb,Moes Bulb,Bulb,Unknown,0,Link Status (0x08),
6,Aqara Door 1,Door,Aqara Door 1,Door,Coordinator,0,Report Attributes (0x0a),"{'Sequence Number': '120', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'OnOff (0x0000)', 'Data Type': 'Boolean (0x10)'}"
7,Unknown,Unknown,Unknown,Unknown,,0,Ack,
8,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,0,Report Attributes (0x0a),"{'Sequence Number': '120', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'OnOff (0x0000)', 'Data Type': 'Boolean (0x10)'}"
9,Unknown,Unknown,Unknown,Unknown,,0,Ack,
10,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,Read Attributes (0x00),"{'Sequence Number': '47', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
11,Unknown,Unknown,Unknown,Unknown,,0,Ack,
12,Smart Socket,Socket,Smart Socket,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '47', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '225 (0x00000000000000e1)', 'Bitmap8': '0x00'}"
13,Unknown,Unknown,Unknown,Unknown,,0,Ack,
14,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '49', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
15,Unknown,Unknown,Unknown,Unknown,,0,Ack,
16,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '49', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
17,Unknown,Unknown,Unknown,Unknown,,0,Ack,
18,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,APS: Ack,
19,Unknown,Unknown,Unknown,Unknown,,0,Ack,
20,Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '49', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '2 (0x0000000000000002)', 'Bitmap8': '0x00'}"
21,Unknown,Unknown,Unknown,Unknown,,0,Ack,
22,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,Read Attributes (0x00),"{'Sequence Number': '51', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
23,Unknown,Unknown,Unknown,Unknown,,0,Ack,
24,Smart Socket,Socket,Smart Socket,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '51', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '220 (0x00dc)']}"
25,Unknown,Unknown,Unknown,Unknown,,0,Ack,
26,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '53', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
27,Unknown,Unknown,Unknown,Unknown,,0,Ack,
28,Philips Lamp 1,Bulb,Coordinator,Coordinator,Power Plug 1,0,Read Attributes (0x00),"{'Sequence Number': '53', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
29,Unknown,Unknown,Unknown,Unknown,,0,Ack,
