Packet Number,Device Name,Device Type
1,Ledvance Z3 Plug,Socket
2,Moes Bulb,Bulb
3,Power Plug 2,Socket
4,Unknown,Unknown
5,Coordinator,Coordinator
6,Unknown,Unknown
7,Philips Motion,Bulb
8,Unknown,Unknown
9,Power Plug 2,Socket
10,Unknown,Unknown
11,Power Plug 2,Socket
12,Unknown,Unknown
13,Coordinator,Coordinator
14,Unknown,Unknown
15,Philips Motion,Bulb
16,Unknown,Unknown
17,Power Plug 2,Socket
18,Unknown,Unknown
19,Philips Lamp 3,Motion
20,Unknown,Unknown
21,Ledvance Z3 Plug,Socket
22,Unknown,Unknown
23,Coordinator,Coordinator
24,Unknown,Unknown
25,Coordinator,Coordinator
26,Unknown,Unknown
27,Ledvance Z3 Plug,Socket
28,Unknown,Unknown
29,Power Plug 1,Socket
30,Unknown,Unknown
31,Coordinator,Coordinator
32,Unknown,Unknown
33,Philips Lamp 1,Bulb
34,Unknown,Unknown
35,Power Plug 1,Socket
36,Unknown,Unknown
37,Power Plug 1,Socket
38,Unknown,Unknown
39,Coordinator,Coordinator
40,Unknown,Unknown
41,Power Plug 1,Socket
42,Unknown,Unknown
43,Power Plug 1,Socket
44,Smart Socket,Socket
45,Aqara Button,Button
46,Unknown,Unknown
47,Smart Socket,Socket
48,Unknown,Unknown
49,Coordinator,Coordinator
50,Unknown,Unknown
51,Ledvance Bulb,Bulb
52,Unknown,Unknown
53,Ledvance Bulb,Bulb
54,Unknown,Unknown
55,Ledvance Bulb,Bulb
56,Unknown,Unknown
57,Ledvance Bulb,Bulb
58,Unknown,Unknown
59,Ledvance Bulb,Bulb
60,Unknown,Unknown
61,Ledvance Bulb,Bulb
62,Unknown,Unknown
63,Coordinator,Coordinator
64,Unknown,Unknown
65,Coordinator,Coordinator
66,Unknown,Unknown
67,Coordinator,Coordinator
68,Unknown,Unknown
69,Coordinator,Coordinator
70,Unknown,Unknown
71,Coordinator,Coordinator
72,Unknown,Unknown
73,Ledvance Bulb,Bulb
74,Unknown,Unknown
75,Ledvance Bulb,Bulb
76,Unknown,Unknown
77,Ledvance Bulb,Bulb
78,Unknown,Unknown
79,Ledvance Bulb,Bulb
80,Unknown,Unknown
81,Ledvance Bulb,Bulb
82,Unknown,Unknown
83,Ledvance Bulb,Bulb
84,Unknown,Unknown
85,Coordinator,Coordinator
86,Unknown,Unknown
87,Coordinator,Coordinator
88,Unknown,Unknown
89,Ledvance Bulb,Bulb
90,Unknown,Unknown
91,Ledvance Bulb,Bulb
92,Unknown,Unknown
93,Ledvance Smart+ Plug,Socket
94,Power Plug 2,Socket
95,Philips Lamp 3,Motion
96,Unknown,Unknown
97,Coordinator,Coordinator
98,Unknown,Unknown
99,Smart Socket,Socket
100,Unknown,Unknown
101,Coordinator,Coordinator
102,Unknown,Unknown
103,Philips Lamp 1,Bulb
104,Unknown,Unknown
105,Coordinator,Coordinator
106,Unknown,Unknown
107,Power Plug 1,Socket
108,Unknown,Unknown
109,Coordinator,Coordinator
110,Unknown,Unknown
111,Smart Socket,Socket
112,Unknown,Unknown
113,Coordinator,Coordinator
114,Unknown,Unknown
115,Philips Lamp 1,Bulb
116,Unknown,Unknown
117,Coordinator,Coordinator
118,Unknown,Unknown
119,Philips Lamp 1,Bulb
120,Philips Lamp 1,Bulb
121,Philips Lamp 1,Bulb
122,Unknown,Unknown
123,Coordinator,Coordinator
124,Unknown,Unknown
125,Philips Lamp 1,Bulb
126,Power Plug 1,Socket
127,Unknown,Unknown
128,Power Plug 1,Socket
129,Unknown,Unknown
130,Coordinator,Coordinator
131,Unknown,Unknown
132,Philips Motion,Bulb
133,Unknown,Unknown
134,Coordinator,Coordinator
135,Unknown,Unknown
136,Philips Lamp 1,Bulb
137,Philips Motion,Bulb
138,Philips Lamp 1,Bulb
139,Philips Motion,Bulb
140,Unknown,Unknown
141,Unknown,Unknown
142,Philips Lamp 1,Bulb
143,Unknown,Unknown
144,Coordinator,Coordinator
145,Philips Motion,Bulb
146,Coordinator,Coordinator
147,Unknown,Unknown
148,Power Plug 2,Socket
149,Unknown,Unknown
150,Philips Lamp 1,Bulb
151,Unknown,Unknown
152,Coordinator,Coordinator
153,Unknown,Unknown
154,Philips Motion,Bulb
155,Unknown,Unknown
156,Coordinator,Coordinator
157,Unknown,Unknown
158,Philips Motion,Bulb
159,Unknown,Unknown
160,Power Plug 2,Socket
161,Unknown,Unknown
162,Philips Motion,Bulb
163,Unknown,Unknown
164,Coordinator,Coordinator
165,Unknown,Unknown
166,Philips Motion,Bulb
167,Unknown,Unknown
168,Sonoff Door 1,Door
169,Unknown,Unknown
170,Ledvance Bulb,Bulb
171,Unknown,Unknown
172,Ledvance Bulb,Bulb
173,Unknown,Unknown
174,Sonoff Door 1,Door
175,Unknown,Unknown
176,Ledvance Bulb,Bulb
177,Philips Motion,Bulb
178,Moes Bulb,Bulb
179,Unknown,Unknown
180,Coordinator,Coordinator
181,Unknown,Unknown
182,Philips Lamp 3,Motion
183,Unknown,Unknown
184,Sonoff Door 1,Door
185,Unknown,Unknown
186,Ledvance Bulb,Bulb
187,Unknown,Unknown
188,Ledvance Bulb,Bulb
189,Unknown,Unknown
190,Sonoff Door 1,Door
191,Unknown,Unknown
192,Coordinator,Coordinator
193,Ledvance Z3 Plug,Socket
194,Moes Bulb,Bulb
195,Unknown,Unknown
196,Moes Bulb,Bulb
197,Unknown,Unknown
198,Coordinator,Coordinator
199,Unknown,Unknown
200,Coordinator,Coordinator
201,Unknown,Unknown
202,Philips Lamp 1,Bulb
203,Philips Lamp 3,Motion
204,Unknown,Unknown
205,Sonoff Motion 2,Motion
206,Unknown,Unknown
207,Ledvance Bulb,Bulb
208,Unknown,Unknown
209,Ledvance Bulb,Bulb
210,Unknown,Unknown
211,Sonoff Motion 2,Motion
212,Unknown,Unknown
213,Power Plug 1,Socket
214,Smart Socket,Socket
215,Aqara Button,Button
216,Unknown,Unknown
217,Smart Socket,Socket
218,Unknown,Unknown
219,Coordinator,Coordinator
220,Unknown,Unknown
221,Ledvance Bulb,Bulb
222,Unknown,Unknown
223,Ledvance Bulb,Bulb
224,Unknown,Unknown
225,Unknown,Unknown
226,Ledvance Bulb,Bulb
227,Unknown,Unknown
228,Ledvance Bulb,Bulb
229,Unknown,Unknown
230,Coordinator,Coordinator
231,Unknown,Unknown
232,Coordinator,Coordinator
233,Ledvance Bulb,Bulb
234,Unknown,Unknown
235,Philips Lamp 1,Bulb
236,Unknown,Unknown
237,Coordinator,Coordinator
238,Unknown,Unknown
239,Coordinator,Coordinator
240,Unknown,Unknown
241,Coordinator,Coordinator
242,Unknown,Unknown
243,Philips Lamp 1,Bulb
244,Unknown,Unknown
245,Ledvance Bulb,Bulb
246,Unknown,Unknown
247,Ledvance Bulb,Bulb
248,Unknown,Unknown
249,Ledvance Bulb,Bulb
250,Unknown,Unknown
251,Ledvance Bulb,Bulb
252,Unknown,Unknown
253,Ledvance Smart+ Plug,Socket
254,Power Plug 2,Socket
255,Ledvance Bulb,Bulb
256,Unknown,Unknown
257,Ledvance Bulb,Bulb
258,Unknown,Unknown
259,Coordinator,Coordinator
260,Unknown,Unknown
261,Coordinator,Coordinator
262,Unknown,Unknown
263,Ledvance Bulb,Bulb
264,Unknown,Unknown
265,Ledvance Bulb,Bulb
266,Unknown,Unknown
267,Philips Lamp 3,Motion
268,Unknown,Unknown
269,Aqara Vibration,Vibration
270,Unknown,Unknown
271,Smart Socket,Socket
272,Unknown,Unknown
273,Ledvance Bulb,Bulb
274,Philips Motion,Bulb
275,Philips Lamp 3,Motion
276,Unknown,Unknown
277,Aqara Door 1,Door
278,Unknown,Unknown
279,Smart Socket,Socket
280,Unknown,Unknown
281,Aqara Door 1,Door
282,Unknown,Unknown
283,Smart Socket,Socket
284,Unknown,Unknown
285,Aqara Door 1,Door
286,Unknown,Unknown
287,Aqara Door 1,Door
288,Aqara Door 1,Door
289,Smart Socket,Socket
290,Aqara Door 1,Door
291,Smart Socket,Socket
292,Unknown,Unknown
293,Aqara Door 1,Door
294,Unknown,Unknown
295,Smart Socket,Socket
296,Unknown,Unknown
297,Aqara Door 1,Door
298,Unknown,Unknown
299,Coordinator,Coordinator
300,Moes Bulb,Bulb
301,Ledvance Z3 Plug,Socket
302,Smart Socket,Socket
303,Unknown,Unknown
304,Coordinator,Coordinator
305,Unknown,Unknown
306,Smart Socket,Socket
307,Unknown,Unknown
308,Philips Lamp 3,Motion
309,Unknown,Unknown
310,Aqara Door 1,Door
311,Unknown,Unknown
312,Smart Socket,Socket
313,Unknown,Unknown
314,Philips Lamp 1,Bulb
315,Power Plug 1,Socket
316,Smart Socket,Socket
317,Philips Lamp 3,Motion
318,Philips Lamp 3,Motion
319,Philips Lamp 3,Motion
320,Philips Lamp 3,Motion
321,Unknown,Unknown
322,Philips Lamp 1,Bulb
323,Philips Motion,Bulb
324,Coordinator,Coordinator
325,Ledvance Smart+ Plug,Socket
326,Power Plug 2,Socket
327,Ledvance Z3 Plug,Socket
328,Smart Socket,Socket
329,Philips Lamp 3,Motion
330,Philips Lamp 3,Motion
331,Philips Lamp 3,Motion
332,Philips Lamp 3,Motion
333,Philips Lamp 3,Motion
334,Philips Lamp 3,Motion
335,Philips Lamp 3,Motion
336,Philips Lamp 3,Motion
337,Philips Lamp 3,Motion
338,Philips Lamp 3,Motion
339,Philips Lamp 3,Motion
340,Philips Lamp 3,Motion
341,Philips Lamp 3,Motion
342,Philips Lamp 3,Motion
343,Ledvance Z3 Plug,Socket
344,Unknown,Unknown
345,Coordinator,Coordinator
346,Unknown,Unknown
347,Coordinator,Coordinator
348,Unknown,Unknown
349,Ledvance Z3 Plug,Socket
350,Unknown,Unknown
351,Ledvance Smart+ Plug,Socket
352,Power Plug 2,Socket
353,Unknown,Unknown
354,Ledvance Smart+ Plug,Socket
355,Philips Lamp 1,Bulb
356,Philips Motion,Bulb
357,Unknown,Unknown
358,Coordinator,Coordinator
359,Smart Socket,Socket
360,Ledvance Z3 Plug,Socket
361,Philips Lamp 3,Motion
362,Philips Lamp 3,Motion
363,Unknown,Unknown
364,Coordinator,Coordinator
365,Unknown,Unknown
366,Smart Socket,Socket
367,Unknown,Unknown
368,Coordinator,Coordinator
369,Coordinator,Coordinator
370,Coordinator,Coordinator
371,Unknown,Unknown
372,Coordinator,Coordinator
373,Unknown,Unknown
374,Unknown,Unknown
375,Coordinator,Coordinator
376,Unknown,Unknown
377,Coordinator,Coordinator
378,Unknown,Unknown
379,Smart Socket,Socket
380,Coordinator,Coordinator
381,Unknown,Unknown
382,Philips Lamp 1,Bulb
383,Smart Socket,Socket
384,Coordinator,Coordinator
385,Unknown,Unknown
386,Power Plug 1,Socket
387,Unknown,Unknown
388,Philips Lamp 1,Bulb
389,Unknown,Unknown
390,Coordinator,Coordinator
391,Unknown,Unknown
392,Smart Socket,Socket
393,Unknown,Unknown
394,Philips Motion,Bulb
395,Unknown,Unknown
396,Power Plug 2,Socket
397,Unknown,Unknown
398,Coordinator,Coordinator
399,Unknown,Unknown
400,Philips Motion,Bulb
401,Unknown,Unknown
402,Coordinator,Coordinator
403,Unknown,Unknown
404,Unknown,Unknown
405,Coordinator,Coordinator
406,Unknown,Unknown
407,Philips Lamp 1,Bulb
408,Unknown,Unknown
409,Coordinator,Coordinator
