Packet Number,Device Name,Device Type
1,Ledvance Bulb,Bulb
2,Smart Socket,Socket
3,Moes Bulb,Bulb
4,Unknown,Unknown
5,Ledvance Smart+ Plug,Socket
6,Ledvance Bulb,Bulb
7,Philips Lamp 1,Bulb
8,Ledvance Smart+ Plug,Socket
9,Ledvance Bulb,Bulb
10,Ledvance Bulb,Bulb
11,Ledvance Bulb,Bulb
12,Ledvance Bulb,Bulb
13,Ledvance Bulb,Bulb
14,Ledvance Bulb,Bulb
15,Ledvance Bulb,Bulb
16,Ledvance Bulb,Bulb
17,Ledvance Bulb,Bulb
18,Ledvance Bulb,Bulb
19,Ledvance Bulb,Bulb
20,Ledvance Bulb,Bulb
21,Ledvance Bulb,Bulb
22,Ledvance Bulb,Bulb
23,Ledvance Bulb,Bulb
24,Ledvance Bulb,Bulb
25,Ledvance Bulb,Bulb
26,Ledvance Bulb,Bulb
27,Ledvance Bulb,Bulb
28,Ledvance Bulb,Bulb
29,Ledvance Bulb,Bulb
30,Ledvance Bulb,Bulb
31,Ledvance Bulb,Bulb
32,Ledvance Bulb,Bulb
33,Ledvance Bulb,Bulb
34,Ledvance Bulb,Bulb
35,Ledvance Bulb,Bulb
36,Ledvance Bulb,Bulb
37,Ledvance Bulb,Bulb
38,Ledvance Bulb,Bulb
39,Ledvance Bulb,Bulb
40,Ledvance Bulb,Bulb
41,Ledvance Bulb,Bulb
42,Ledvance Bulb,Bulb
43,Ledvance Bulb,Bulb
44,Ledvance Bulb,Bulb
45,Ledvance Bulb,Bulb
46,Unknown,Unknown
47,Philips Motion,Bulb
48,Philips Motion,Bulb
49,Philips Motion,Bulb
50,Philips Motion,Bulb
51,Philips Motion,Bulb
52,Philips Motion,Bulb
53,Philips Motion,Bulb
54,Philips Motion,Bulb
55,Philips Motion,Bulb
56,Philips Motion,Bulb
57,Philips Motion,Bulb
58,Philips Motion,Bulb
59,Philips Motion,Bulb
60,Philips Motion,Bulb
61,Philips Motion,Bulb
62,Philips Motion,Bulb
63,Philips Motion,Bulb
64,Philips Motion,Bulb
65,Philips Motion,Bulb
66,Philips Motion,Bulb
67,Philips Motion,Bulb
68,Philips Motion,Bulb
69,Philips Motion,Bulb
70,Philips Motion,Bulb
71,Coordinator,Coordinator
72,Ledvance Bulb,Bulb
73,Ledvance Bulb,Bulb
74,Unknown,Unknown
75,Ledvance Bulb,Bulb
76,Unknown,Unknown
77,Coordinator,Coordinator
78,Unknown,Unknown
79,Coordinator,Coordinator
80,Unknown,Unknown
81,Ledvance Bulb,Bulb
82,Unknown,Unknown
83,Ledvance Bulb,Bulb
84,Unknown,Unknown
85,Smart Socket,Socket
86,Unknown,Unknown
87,Philips Lamp 1,Bulb
88,Coordinator,Coordinator
89,Philips Motion,Bulb
90,Moes Bulb,Bulb
91,Sonoff Temperature,Temperature
92,Sonoff Temperature,Temperature
93,Sonoff Temperature,Temperature
94,Unknown,Unknown
95,Coordinator,Coordinator
96,Ledvance Z3 Plug,Socket
97,Ledvance Smart+ Plug,Socket
98,Coordinator,Coordinator
99,Smart Socket,Socket
100,Unknown,Unknown
101,Coordinator,Coordinator
102,Ledvance Smart+ Plug,Socket
103,Coordinator,Coordinator
104,Unknown,Unknown
105,Smart Socket,Socket
106,Unknown,Unknown
107,Coordinator,Coordinator
108,Unknown,Unknown
109,Coordinator,Coordinator
110,Philips Motion,Bulb
111,Smart Socket,Socket
112,Unknown,Unknown
113,Unknown,Unknown
114,Power Plug 2,Socket
115,Smart Socket,Socket
116,Unknown,Unknown
117,Smart Socket,Socket
118,Unknown,Unknown
119,Philips Lamp 1,Bulb
120,Philips Motion,Bulb
121,Ledvance Smart+ Plug,Socket
122,Ledvance Bulb,Bulb
123,Ledvance Z3 Plug,Socket
124,Moes Bulb,Bulb
125,Unknown,Unknown
126,Power Plug 2,Socket
127,Coordinator,Coordinator
128,Philips Lamp 1,Bulb
129,Moes Bulb,Bulb
130,Coordinator,Coordinator
131,Unknown,Unknown
132,Philips Motion,Bulb
133,Smart Socket,Socket
134,Unknown,Unknown
135,Power Plug 2,Socket
136,Unknown,Unknown
137,Philips Motion,Bulb
138,Unknown,Unknown
139,Unknown,Unknown
140,Moes Bulb,Bulb
141,Coordinator,Coordinator
142,Unknown,Unknown
143,Smart Socket,Socket
144,Unknown,Unknown
145,Unknown,Unknown
146,Coordinator,Coordinator
147,Unknown,Unknown
148,Unknown,Unknown
149,Unknown,Unknown
150,Ledvance Bulb,Bulb
151,Coordinator,Coordinator
152,Unknown,Unknown
153,Smart Socket,Socket
154,Smart Socket,Socket
155,Unknown,Unknown
156,Coordinator,Coordinator
157,Unknown,Unknown
158,Smart Socket,Socket
159,Coordinator,Coordinator
160,Coordinator,Coordinator
161,Unknown,Unknown
162,Unknown,Unknown
163,Unknown,Unknown
164,Unknown,Unknown
165,Ledvance Smart+ Plug,Socket
166,Coordinator,Coordinator
167,Unknown,Unknown
168,Philips Lamp 1,Bulb
169,Philips Motion,Bulb
170,Unknown,Unknown
171,Unknown,Unknown
172,Coordinator,Coordinator
173,Unknown,Unknown
174,Philips Motion,Bulb
175,Ledvance Z3 Plug,Socket
176,Philips Motion,Bulb
177,Smart Socket,Socket
178,Coordinator,Coordinator
179,Unknown,Unknown
180,Power Plug 2,Socket
181,Philips Motion,Bulb
182,Coordinator,Coordinator
183,Smart Socket,Socket
184,Smart Socket,Socket
185,Philips Motion,Bulb
186,Smart Socket,Socket
187,Power Plug 2,Socket
188,Unknown,Unknown
189,Ledvance Z3 Plug,Socket
190,Philips Motion,Bulb
191,Ledvance Smart+ Plug,Socket
192,Philips Motion,Bulb
193,Unknown,Unknown
194,Philips Motion,Bulb
195,Power Plug 2,Socket
196,Unknown,Unknown
197,Unknown,Unknown
198,Unknown,Unknown
199,Coordinator,Coordinator
200,Unknown,Unknown
201,Moes Bulb,Bulb
202,Philips Motion,Bulb
203,Coordinator,Coordinator
204,Power Plug 2,Socket
205,Philips Motion,Bulb
206,Coordinator,Coordinator
207,Philips Motion,Bulb
208,Unknown,Unknown
209,Coordinator,Coordinator
210,Unknown,Unknown
211,Power Plug 2,Socket
212,Power Plug 2,Socket
213,Unknown,Unknown
214,Philips Motion,Bulb
215,Unknown,Unknown
216,Philips Motion,Bulb
217,Unknown,Unknown
218,Coordinator,Coordinator
219,Unknown,Unknown
220,Moes Bulb,Bulb
221,Philips Motion,Bulb
222,Unknown,Unknown
223,Philips Motion,Bulb
224,Unknown,Unknown
225,Coordinator,Coordinator
226,Unknown,Unknown
227,Coordinator,Coordinator
228,Unknown,Unknown
229,Philips Motion,Bulb
230,Unknown,Unknown
231,Philips Lamp 1,Bulb
232,Philips Lamp 1,Bulb
233,Ledvance Bulb,Bulb
234,Ledvance Smart+ Plug,Socket
235,Philips Motion,Bulb
236,Unknown,Unknown
237,Smart Socket,Socket
238,Ledvance Z3 Plug,Socket
239,Philips Lamp 1,Bulb
240,Coordinator,Coordinator
241,Unknown,Unknown
242,Moes Bulb,Bulb
243,Smart Socket,Socket
244,Philips Motion,Bulb
245,Ledvance Bulb,Bulb
246,Coordinator,Coordinator
247,Ledvance Z3 Plug,Socket
248,Ledvance Smart+ Plug,Socket
249,Unknown,Unknown
250,Ledvance Z3 Plug,Socket
251,Ledvance Smart+ Plug,Socket
252,Smart Socket,Socket
253,Power Plug 2,Socket
254,Ledvance Bulb,Bulb
255,Philips Motion,Bulb
256,Moes Bulb,Bulb
257,Philips Motion,Bulb
258,Coordinator,Coordinator
259,Unknown,Unknown
260,Ledvance Z3 Plug,Socket
261,Coordinator,Coordinator
262,Unknown,Unknown
263,Ledvance Bulb,Bulb
264,Philips Lamp 1,Bulb
