Packet Number,Device Name,Device Type,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Human Command,Packet Type,Command String
1,Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,0,Network Status (0x03),
2,Unknown,Unknown,Unknown,Unknown,,0,Ack,
3,Coordinator,Coordinator,Coordinator,Coordinator,Unknown,0,Link Status (0x08),
4,Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,0,Report Attributes (0x0a),"{'Sequence Number': '112', 'Command': 'Report Attributes (0x0a)', 'Attribute': ['Application Version (0x0001)', 'Unknown (0xffe2)', 'Unknown (0xffe4)'], 'Data Type': ['8-Bit Unsigned Integer (0x20)', '8-Bit Unsigned Integer (0x20)', '8-Bit Unsigned Integer (0x20)'], 'Uint8': ['77 (0x4d)', '54 (0x36)', '0 (0x00)']}"
5,Unknown,Unknown,Unknown,Unknown,,0,Ack,
6,Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,0,Default Response (0x0b),"{'Sequence Number': '112', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
7,Unknown,Unknown,Unknown,Unknown,,0,Ack,
8,Ledvance Bulb,Bulb,Coordinator,Coordinator,Power Plug 1,0,Default Response (0x0b),"{'Sequence Number': '112', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
9,Power Plug 1,Socket,Power Plug 1,Socket,Coordinator,0,APS: Ack,
10,Unknown,Unknown,Unknown,Unknown,,0,Ack,
11,Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Unknown,0,Link Status (0x08),
12,Philips Motion,Motion,Unknown,Unknown,,0,,
13,Unknown,Unknown,Unknown,Unknown,,0,Ack,
14,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,0,,
15,Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
16,Unknown,Unknown,Unknown,Unknown,,0,Ack,
17,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
18,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
19,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
20,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
21,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
22,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
23,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
24,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
25,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
26,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
27,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
28,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
29,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
30,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
31,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
32,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
33,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
34,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
35,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
36,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
37,Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,0,Network Status (0x03),
38,Unknown,Unknown,Unknown,Unknown,,0,Ack,
39,Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Unknown,0,Link Status (0x08),
40,Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Unknown,0,Link Status (0x08),
41,Unknown,Unknown,Unknown,Unknown,,0,,
42,Unknown,Unknown,Unknown,Unknown,,0,,
43,Unknown,Unknown,Unknown,Unknown,,0,,
44,Unknown,Unknown,Unknown,Unknown,,0,Ack,
45,Philips Motion,Motion,Philips Motion,Motion,Coordinator,0,Report Attributes (0x0a),"{'Sequence Number': '154', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'Measured Value (0x0000)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Measured Value': '16312 (=41.775983 [lx])'}"
46,Unknown,Unknown,Unknown,Unknown,,0,Ack,
47,Philips Lamp 1,Bulb,Philips Motion,Motion,Coordinator,0,Route Record (0x05),
48,Unknown,Unknown,Unknown,Unknown,,0,Ack,
49,Philips Motion,Motion,Unknown,Unknown,,0,,
50,Unknown,Unknown,Unknown,Unknown,,0,Ack,
51,Philips Lamp 1,Bulb,Philips Motion,Motion,Coordinator,0,Report Attributes (0x0a),"{'Sequence Number': '154', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'Measured Value (0x0000)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Measured Value': '16312 (=41.775983 [lx])'}"
52,Unknown,Unknown,Unknown,Unknown,,0,Ack,
53,Philips Lamp 1,Bulb,Philips Motion,Motion,Coordinator,0,Report Attributes (0x0a),"{'Sequence Number': '154', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'Measured Value (0x0000)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Measured Value': '16312 (=41.775983 [lx])'}"
54,Unknown,Unknown,Unknown,Unknown,,0,Ack,
55,Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,0,Default Response (0x0b),"{'Sequence Number': '154', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
56,Unknown,Unknown,Unknown,Unknown,,0,Ack,
57,Smart Socket,Socket,Smart Socket,Socket,Unknown,0,Link Status (0x08),
58,Philips Motion,Motion,Unknown,Unknown,,0,,
59,Unknown,Unknown,Unknown,Unknown,,0,,
60,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Motion,0,Default Response (0x0b),"{'Sequence Number': '154', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
61,Unknown,Unknown,Unknown,Unknown,,0,Ack,
62,Philips Motion,Motion,Unknown,Unknown,,0,,
63,Unknown,Unknown,Unknown,Unknown,,0,Ack,
64,Philips Motion,Motion,Philips Motion,Motion,Coordinator,0,APS: Ack,
65,Unknown,Unknown,Unknown,Unknown,,0,Ack,
66,Philips Lamp 1,Bulb,Philips Motion,Motion,Coordinator,0,Route Record (0x05),
67,Unknown,Unknown,Unknown,Unknown,,0,Ack,
68,Philips Motion,Motion,Unknown,Unknown,,0,,
69,Unknown,Unknown,Unknown,Unknown,,0,Ack,
70,Philips Lamp 1,Bulb,Philips Motion,Motion,Coordinator,0,APS: Ack,
71,Unknown,Unknown,Unknown,Unknown,,0,Ack,
72,Moes Bulb,Bulb,Moes Bulb,Bulb,Unknown,0,Link Status (0x08),
73,Power Plug 2,Socket,Power Plug 2,Socket,Unknown,0,Link Status (0x08),
74,Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
75,Unknown,Unknown,Unknown,Unknown,,0,Ack,
76,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
77,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
78,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
79,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
80,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
81,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
82,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
83,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
84,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
85,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
86,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
87,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
88,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
89,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
90,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
91,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
92,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
93,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
94,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
95,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,0,zdp,
96,Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,0,Network Status (0x03),
97,Unknown,Unknown,Unknown,Unknown,,0,Ack,
98,Power Plug 1,Socket,Power Plug 1,Socket,Unknown,0,Link Status (0x08),
99,Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,1,Report Attributes (0x0a),"{'Manufacturer Code': 'Lumi United Techology, Ltd Shenzhen (0x115f)', 'Sequence Number': '1', 'Command': 'Report Attributes (0x0a)', 'Attribute': '0x0112', 'Data Type': '32-Bit Unsigned Integer (0x23)', 'Uint32': '65559 (0x00010017)'}"
100,Unknown,Unknown,Unknown,Unknown,,0,Ack,
101,Philips Motion,Motion,Unknown,Unknown,,0,,
102,Unknown,Unknown,Unknown,Unknown,,0,Ack,
103,Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,0,Read Attributes (0x00),"{'Sequence Number': '95', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
104,Unknown,Unknown,Unknown,Unknown,,0,Ack,
105,Smart Socket,Socket,Smart Socket,Socket,Coordinator,0,Read Attributes Response (0x01),"{'Sequence Number': '95', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '231 (0x00000000000000e7)', 'Bitmap8': '0x00'}"
