Packet Number,Device Name,Device Type
1,Philips Lamp 3,Motion
2,Unknown,Unknown
3,Ledvance Bulb,Bulb
4,Coordinator,Coordinator
5,Power Plug 2,Socket
6,Ledvance Smart+ Plug,Socket
7,Moes Bulb,Bulb
8,Philips Lamp 2,Bulb
9,Philips Lamp 3,Motion
10,Unknown,Unknown
11,Philips Lamp 1,Bulb
12,Philips Lamp 3,Motion
13,Unknown,Unknown
14,Ledvance Z3 Plug,Socket
15,Philips Motion,Bulb
16,Power Plug 1,Socket
17,Smart Socket,Socket
18,Philips Lamp 3,Motion
19,Unknown,Unknown
20,Ledvance Bulb,Bulb
21,Coordinator,Coordinator
22,Coordinator,Coordinator
23,Unknown,Unknown
24,Philips Motion,Bulb
25,Unknown,Unknown
26,Philips Motion,Bulb
27,Unknown,Unknown
28,Philips Motion,Bulb
29,Unknown,Unknown
30,Philips Motion,Bulb
31,Unknown,Unknown
32,Philips Motion,Bulb
33,Unknown,Unknown
34,Philips Motion,Bulb
35,Unknown,Unknown
36,Ledvance Bulb,Bulb
37,Unknown,Unknown
38,Ledvance Bulb,Bulb
39,Unknown,Unknown
40,Coordinator,Coordinator
41,Unknown,Unknown
42,Coordinator,Coordinator
43,Unknown,Unknown
44,Ledvance Bulb,Bulb
45,Unknown,Unknown
46,Power Plug 2,Socket
47,Ledvance Bulb,Bulb
48,Unknown,Unknown
49,Ledvance Smart+ Plug,Socket
50,Philips Motion,Bulb
51,Unknown,Unknown
52,Philips Motion,Bulb
53,Unknown,Unknown
54,Moes Bulb,Bulb
55,Coordinator,Coordinator
56,Unknown,Unknown
57,Philips Lamp 2,Bulb
58,Unknown,Unknown
59,Coordinator,Coordinator
60,Unknown,Unknown
61,Philips Motion,Bulb
62,Unknown,Unknown
63,Coordinator,Coordinator
64,Unknown,Unknown
65,Ledvance Bulb,Bulb
66,Unknown,Unknown
67,Philips Lamp 2,Bulb
68,Unknown,Unknown
69,Moes Bulb,Bulb
70,Unknown,Unknown
71,Moes Bulb,Bulb
72,Moes Bulb,Bulb
73,Unknown,Unknown
74,Coordinator,Coordinator
75,Unknown,Unknown
76,Philips Motion,Bulb
77,Unknown,Unknown
78,Coordinator,Coordinator
79,Unknown,Unknown
80,Philips Lamp 1,Bulb
81,Unknown,Unknown
82,Ledvance Bulb,Bulb
83,Unknown,Unknown
84,Ledvance Bulb,Bulb
85,Unknown,Unknown
86,Coordinator,Coordinator
87,Unknown,Unknown
88,Ledvance Bulb,Bulb
89,Unknown,Unknown
90,Ledvance Bulb,Bulb
91,Unknown,Unknown
92,Coordinator,Coordinator
93,Unknown,Unknown
94,Philips Lamp 1,Bulb
95,Unknown,Unknown
96,Smart Socket,Socket
97,Unknown,Unknown
98,Ledvance Bulb,Bulb
99,Unknown,Unknown
100,Ledvance Bulb,Bulb
101,Ledvance Bulb,Bulb
102,Unknown,Unknown
103,Philips Lamp 2,Bulb
104,Unknown,Unknown
105,Ledvance Bulb,Bulb
106,Unknown,Unknown
107,Philips Lamp 2,Bulb
108,Unknown,Unknown
109,Coordinator,Coordinator
110,Power Plug 1,Socket
111,Unknown,Unknown
112,Coordinator,Coordinator
113,Unknown,Unknown
114,Philips Lamp 2,Bulb
115,Philips Lamp 2,Bulb
116,Unknown,Unknown
117,Philips Lamp 2,Bulb
118,Unknown,Unknown
119,Coordinator,Coordinator
120,Unknown,Unknown
121,Coordinator,Coordinator
122,Unknown,Unknown
123,Smart Socket,Socket
124,Unknown,Unknown
125,Coordinator,Coordinator
126,Unknown,Unknown
127,Coordinator,Coordinator
128,Unknown,Unknown
129,Unknown,Unknown
130,Coordinator,Coordinator
131,Unknown,Unknown
132,Power Plug 1,Socket
133,Unknown,Unknown
134,Coordinator,Coordinator
135,Unknown,Unknown
136,Philips Lamp 1,Bulb
137,Philips Lamp 1,Bulb
138,Unknown,Unknown
139,Philips Lamp 1,Bulb
140,Unknown,Unknown
141,Power Plug 1,Socket
142,Philips Lamp 1,Bulb
143,Unknown,Unknown
144,Power Plug 1,Socket
145,Power Plug 2,Socket
146,Coordinator,Coordinator
147,Philips Lamp 1,Bulb
148,Power Plug 2,Socket
149,Power Plug 1,Socket
150,Unknown,Unknown
151,Unknown,Unknown
152,Unknown,Unknown
153,Philips Lamp 1,Bulb
154,Unknown,Unknown
155,Power Plug 2,Socket
156,Unknown,Unknown
157,Philips Lamp 1,Bulb
158,Unknown,Unknown
159,Coordinator,Coordinator
160,Unknown,Unknown
161,Philips Lamp 2,Bulb
162,Unknown,Unknown
163,Power Plug 2,Socket
164,Unknown,Unknown
165,Coordinator,Coordinator
166,Unknown,Unknown
167,Coordinator,Coordinator
168,Unknown,Unknown
169,Ledvance Bulb,Bulb
170,Unknown,Unknown
171,Coordinator,Coordinator
172,Unknown,Unknown
173,Ledvance Bulb,Bulb
174,Unknown,Unknown
175,Coordinator,Coordinator
176,Unknown,Unknown
177,Coordinator,Coordinator
178,Unknown,Unknown
179,Coordinator,Coordinator
180,Unknown,Unknown
181,Coordinator,Coordinator
182,Ledvance Bulb,Bulb
183,Unknown,Unknown
184,Philips Lamp 2,Bulb
185,Philips Lamp 2,Bulb
186,Unknown,Unknown
187,Philips Lamp 2,Bulb
188,Unknown,Unknown
189,Ledvance Bulb,Bulb
190,Unknown,Unknown
191,Coordinator,Coordinator
192,Unknown,Unknown
193,Philips Lamp 2,Bulb
194,Unknown,Unknown
195,Coordinator,Coordinator
196,Coordinator,Coordinator
197,Unknown,Unknown
198,Philips Motion,Bulb
199,Unknown,Unknown
200,Philips Motion,Bulb
201,Unknown,Unknown
202,Philips Motion,Bulb
203,Unknown,Unknown
204,Philips Motion,Bulb
205,Unknown,Unknown
206,Ledvance Bulb,Bulb
207,Unknown,Unknown
208,Ledvance Bulb,Bulb
209,Unknown,Unknown
210,Coordinator,Coordinator
211,Unknown,Unknown
212,Coordinator,Coordinator
213,Unknown,Unknown
214,Ledvance Bulb,Bulb
215,Unknown,Unknown
216,Philips Lamp 2,Bulb
217,Unknown,Unknown
218,Ledvance Bulb,Bulb
219,Unknown,Unknown
220,Philips Lamp 2,Bulb
221,Unknown,Unknown
222,Philips Lamp 3,Motion
223,Unknown,Unknown
224,Philips Lamp 1,Bulb
225,Unknown,Unknown
226,Philips Lamp 1,Bulb
227,Unknown,Unknown
228,Philips Motion,Bulb
229,Unknown,Unknown
230,Philips Motion,Bulb
231,Unknown,Unknown
232,Coordinator,Coordinator
233,Unknown,Unknown
234,Ledvance Z3 Plug,Socket
235,Unknown,Unknown
236,Ledvance Z3 Plug,Socket
237,Unknown,Unknown
238,Coordinator,Coordinator
239,Coordinator,Coordinator
240,Unknown,Unknown
241,Ledvance Z3 Plug,Socket
242,Unknown,Unknown
243,Coordinator,Coordinator
244,Unknown,Unknown
245,Ledvance Smart+ Plug,Socket
246,Unknown,Unknown
247,Coordinator,Coordinator
248,Unknown,Unknown
249,Coordinator,Coordinator
250,Coordinator,Coordinator
251,Ledvance Z3 Plug,Socket
252,Unknown,Unknown
253,Coordinator,Coordinator
254,Unknown,Unknown
255,Ledvance Smart+ Plug,Socket
256,Unknown,Unknown
257,Power Plug 1,Socket
258,Unknown,Unknown
259,Coordinator,Coordinator
260,Power Plug 1,Socket
261,Unknown,Unknown
262,Philips Lamp 1,Bulb
263,Philips Lamp 2,Bulb
264,Ledvance Bulb,Bulb
265,Ledvance Smart+ Plug,Socket
266,Ledvance Z3 Plug,Socket
267,Power Plug 2,Socket
268,Smart Socket,Socket
269,Coordinator,Coordinator
270,Unknown,Unknown
271,Coordinator,Coordinator
272,Ledvance Smart+ Plug,Socket
273,Ledvance Bulb,Bulb
274,Philips Lamp 2,Bulb
275,Power Plug 2,Socket
276,Philips Lamp 1,Bulb
277,Ledvance Z3 Plug,Socket
278,Smart Socket,Socket
279,Coordinator,Coordinator
280,Power Plug 2,Socket
281,Smart Socket,Socket
282,Philips Lamp 1,Bulb
283,Ledvance Bulb,Bulb
284,Philips Lamp 2,Bulb
285,Philips Lamp 2,Bulb
286,Ledvance Z3 Plug,Socket
287,Coordinator,Coordinator
288,Philips Lamp 1,Bulb
289,Philips Lamp 3,Motion
290,Unknown,Unknown
291,Coordinator,Coordinator
292,Unknown,Unknown
293,Philips Lamp 2,Bulb
294,Unknown,Unknown
295,Power Plug 2,Socket
296,Unknown,Unknown
297,Power Plug 2,Socket
298,Unknown,Unknown
299,Coordinator,Coordinator
300,Unknown,Unknown
301,Smart Socket,Socket
302,Unknown,Unknown
303,Smart Socket,Socket
304,Unknown,Unknown
305,Ledvance Z3 Plug,Socket
306,Coordinator,Coordinator
307,Unknown,Unknown
308,Power Plug 1,Socket
309,Power Plug 1,Socket
310,Unknown,Unknown
311,Power Plug 1,Socket
312,Unknown,Unknown
313,Power Plug 1,Socket
314,Smart Socket,Socket
